Date (GMT+1),Non-Renewable,Renewable,Day Ahead Auction (DK1),Day Ahead Auction (DK2)
,Power (MW),Power (MW),"Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)"
2021-01-01T00:00+01:00,1273.56,1543.23,50.87,50.87
2021-01-01T01:00+01:00,1240.84,1469.21,48.19,48.19
2021-01-01T02:00+01:00,1078.23,1382.78,44.68,44.68
2021-01-01T03:00+01:00,1025.92,1264.99,42.92,42.92
2021-01-01T04:00+01:00,1024.92,1171.04,40.39,40.39
2021-01-01T05:00+01:00,1070.38,1139.37,40.2,40.2
2021-01-01T06:00+01:00,1101.51,1127.88,39.63,39.63
2021-01-01T07:00+01:00,1177.71,1114.14,40.09,40.09
2021-01-01T08:00+01:00,1218.21,1150.33,41.27,41.27
2021-01-01T09:00+01:00,1300.53,1106.58,44.88,44.88
2021-01-01T10:00+01:00,1386.45,1211.09,45,45
2021-01-01T11:00+01:00,1420.99,1239.35,47.2,47.2
2021-01-01T12:00+01:00,1621.72,1222.49,50.78,50.78
2021-01-01T13:00+01:00,1667.22,1180.59,45.49,45.49
2021-01-01T14:00+01:00,1594.27,1139.27,44.73,44.73
2021-01-01T15:00+01:00,1771.02,1155.62,46.59,46.59
2021-01-01T16:00+01:00,1875.45,1181.89,52.99,52.99
2021-01-01T17:00+01:00,2006.14,1189.72,60.26,60.26
2021-01-01T18:00+01:00,1961.86,1204.05,60.61,60.61
2021-01-01T19:00+01:00,1933.97,1169.17,60.36,60.36
2021-01-01T20:00+01:00,1895.01,1140.62,57.4,57.4
2021-01-01T21:00+01:00,1858.25,1136.34,53.86,53.86
2021-01-01T22:00+01:00,1769.35,1211.51,53.45,53.45
2021-01-01T23:00+01:00,1698.17,1200.33,49.72,49.72
2021-01-02T00:00+01:00,1329.05,1064.79,46.69,46.69
2021-01-02T01:00+01:00,1332.93,1030.77,42.43,42.43
2021-01-02T02:00+01:00,1200.22,1011.34,41.09,41.09
2021-01-02T03:00+01:00,1133.37,1023.97,40,40
2021-01-02T04:00+01:00,1100.12,990.35,37.55,37.55
2021-01-02T05:00+01:00,1130.87,917.64,39,39
2021-01-02T06:00+01:00,1181.23,898.1,42.09,42.09
2021-01-02T07:00+01:00,1336.4,874.76,44.96,44.96
2021-01-02T08:00+01:00,1412.91,902.81,48.45,48.45
2021-01-02T09:00+01:00,1596.81,876.49,52,52
2021-01-02T10:00+01:00,1603.21,1020.21,52,52
2021-01-02T11:00+01:00,1731.31,1216.58,52.15,52.15
2021-01-02T12:00+01:00,1828.37,1205.08,55.95,55.95
2021-01-02T13:00+01:00,1771.11,1132.92,52,52
2021-01-02T14:00+01:00,1788.21,1052.67,50.69,50.69
2021-01-02T15:00+01:00,1962.47,1161.25,53.45,53.45
2021-01-02T16:00+01:00,2019.73,1212.99,59.99,59.99
2021-01-02T17:00+01:00,2036.9,1266.05,62,62
2021-01-02T18:00+01:00,1978.49,1312.2,63.08,63.08
2021-01-02T19:00+01:00,1923.84,1388.47,62.17,62.17
2021-01-02T20:00+01:00,1868.09,1501.51,60.03,60.03
2021-01-02T21:00+01:00,1735.49,1575.75,55.03,55.03
2021-01-02T22:00+01:00,1694.55,1589.29,52.25,52.25
2021-01-02T23:00+01:00,1439.14,1588.04,48.45,48.45
2021-01-03T00:00+01:00,1203.46,1575.26,46.11,46.11
2021-01-03T01:00+01:00,1158.21,1593.53,41.59,41.59
2021-01-03T02:00+01:00,1065.27,1737.81,37.21,37.21
2021-01-03T03:00+01:00,960.59,1764.94,35.18,35.18
2021-01-03T04:00+01:00,919.62,1756.26,24.65,24.65
2021-01-03T05:00+01:00,935.57,1698.53,23.85,23.85
2021-01-03T06:00+01:00,957.5,2109.88,24.05,24.05
2021-01-03T07:00+01:00,858.48,2034.82,24.8,24.8
2021-01-03T08:00+01:00,846.55,2240.45,24.97,24.97
2021-01-03T09:00+01:00,874.15,2462.45,25.65,25.65
2021-01-03T10:00+01:00,862.29,2652.07,26,26
2021-01-03T11:00+01:00,856.55,2779.28,26.07,26.89
2021-01-03T12:00+01:00,907.93,3074.53,25.87,25.87
2021-01-03T13:00+01:00,869.14,3092.06,25.83,25.83
2021-01-03T14:00+01:00,904.7,3094.91,26.02,26.02
2021-01-03T15:00+01:00,907.64,3204.41,26.5,26.5
2021-01-03T16:00+01:00,909.63,3278.65,28.05,33.27
2021-01-03T17:00+01:00,1152.63,3590.86,28.53,43.96
2021-01-03T18:00+01:00,1039.85,3980.48,28.17,43.35
2021-01-03T19:00+01:00,979.75,3362.12,27.92,27.92
2021-01-03T20:00+01:00,949.67,3276.3,27.56,27.56
2021-01-03T21:00+01:00,927.8,3195.7,27.04,27.04
2021-01-03T22:00+01:00,861.23,3271.4,26.18,26.18
2021-01-03T23:00+01:00,903.01,3114.1,24.92,24.92
2021-01-04T00:00+01:00,964.47,2890.08,24.66,24.66
2021-01-04T01:00+01:00,899.95,3230.25,24.05,24.05
2021-01-04T02:00+01:00,997.31,2905.59,23.88,23.88
2021-01-04T03:00+01:00,916.3,2770.7,24.03,24.03
2021-01-04T04:00+01:00,955.67,2639.07,24.58,24.58
2021-01-04T05:00+01:00,938.71,2770.22,25.84,25.84
2021-01-04T06:00+01:00,999.03,2965.1,28.21,28.21
